Data,wig_banki,wig_budow,wig_chemia,wig_energ,wig_gornic,wig_gry,wig_info,wig_leki,wig_media,wig_moto,wig_nrchom,wig_odziez,wig_paliwa,wig_spozyw,10yply,wig
2019-08-31,7028.06,1968.83,9428.26,1917.64,2693.11,22601.15,2501.9,5245.14,5061.23,3497.54,2277.83,5170.49,6816.54,3190.2,1.843,56739.53
2019-09-30,7142.19,1880.09,8665.92,1946.72,2647.44,21787.65,2387.55,5345.73,5205.8,3458.26,2300.65,5870.39,7260.24,3124.23,2.004,57320.3
2019-10-31,7083.87,1926.25,8707.03,1973.8,2725.58,22442.7,2411.29,5436.54,5025.83,3338.96,2342.93,5370.64,7621.61,3032.88,1.956,57783.02
2019-11-30,6769.46,2165.31,8507.93,2103.68,2926.52,23317.33,2619.12,6031.78,5286.33,3311.69,2413.35,5626.98,7010.64,2972.75,2.001,57502.14
2019-12-31,6768.39,2278.75,8390.97,1961.62,3089.84,25036.92,2834.29,5197.43,5375.11,3521.67,2460.44,5665.06,6489.03,3126.05,2.107,57832.88
2020-01-31,6643.07,2424.52,7692.25,1782.58,2921.58,25465.53,2932.27,5091.21,6135.23,3885.83,2549.6,5350.93,5710.73,3279.57,2.132,56681.27
2020-02-29,5891.59,2179.68,6583.49,1346.5,2232.25,25135.58,2834.08,4092.22,5728.44,3221.84,2396.83,4304.09,4544.12,3023.24,1.784,49276.54
2020-03-31,4154.68,1928.43,5980.66,1219.86,1913.06,26087.6,2663.12,3432.33,4131.82,2471.24,1886.6,2975.82,4347.45,2543.29,1.658,41624.62
2020-04-30,3951.94,2324.42,7865.95,1343.98,2430.8,32612.63,3150.0,3677.24,4822.3,3069.58,2121.66,3891.11,4890.53,2907.75,1.461,46117.0
2020-05-31,3974.09,2669.2,8500.93,1469.39,2728.2,36940.86,3388.88,3887.05,5221.29,2975.75,2046.66,4001.08,5190.57,3040.7,1.163,48127.64
2020-06-30,4157.2,2754.02,8067.33,1958.16,2894.0,36365.67,3419.23,4865.52,5042.77,3388.79,2119.03,3719.69,5087.79,3048.24,1.363,49569.17
2020-07-31,3843.88,2891.48,7701.13,1990.75,3880.41,37238.72,3681.42,6907.75,5085.53,3314.57,2135.52,4103.36,4697.1,2948.91,1.264,50468.16
2020-08-31,3869.7,2945.12,7522.33,1902.94,4181.51,40129.32,3927.18,6654.44,5173.38,3773.31,2232.21,4243.86,4454.85,2899.91,1.39,51629.45
2020-09-30,3698.72,2991.16,6785.02,1857.9,3746.5,38655.31,3837.18,6061.14,4992.09,3765.1,2148.94,3830.05,4134.41,3003.79,1.303,49411.53
2020-10-31,3155.99,2784.6,6028.69,1460.87,3622.44,32182.68,3548.55,5236.53,4694.96,3320.19,1982.1,3091.78,3423.51,2906.62,1.176,44097.98
2020-11-30,4387.4,3239.27,7114.04,1749.68,4626.0,36236.28,3676.11,4996.24,5440.42,3918.26,2237.15,4165.16,4531.46,3498.31,1.227,52639.45
2020-12-31,4765.33,3662.06,7697.82,2040.76,5625.47,27173.2,3863.01,4682.94,6042.75,3981.19,2385.9,5158.73,4954.47,3641.75,1.228,57025.84
2021-01-31,4860.87,3896.69,7948.4,2085.8,5853.11,29486.51,3882.57,4918.82,5876.34,4636.19,2462.23,4824.44,4874.09,4139.81,1.149,56978.68
2021-02-28,5225.83,4150.11,8419.46,2073.66,5925.51,24337.68,3924.59,5238.88,6284.38,4696.09,2617.22,5068.04,5047.33,4205.68,1.583,56970.3
2021-03-31,5432.19,3958.96,8622.81,2149.61,5886.6,21024.47,4060.18,7572.0,6401.04,5168.69,2607.18,5147.22,5407.72,4090.55,1.548,58081.5
2021-04-30,5869.76,4113.34,9782.42,2842.46,6019.55,19393.31,4128.73,6580.67,6705.68,5045.31,2857.28,6085.33,5757.8,4044.38,1.7,60810.55
2021-05-31,6892.13,4276.05,10027.83,2812.24,6306.67,18916.18,4145.62,6374.53,7613.38,5934.33,2999.36,6975.16,6545.68,4450.48,1.851,66284.71
2021-06-30,6547.82,4212.95,10232.21,2694.54,5940.09,20304.8,4509.26,6332.77,7770.02,5851.97,3014.43,7539.69,6357.84,4357.72,1.631,66067.21
2021-07-31,6630.84,4354.19,9710.75,2574.89,6130.87,20452.58,4596.92,5822.06,8059.33,6312.3,3077.25,8274.01,6301.08,4273.18,1.702,67637.95
2021-08-31,7585.83,4400.55,9567.32,2913.77,5719.94,18973.99,4632.71,6289.19,8803.33,6341.8,3138.43,8329.25,6456.36,4494.72,1.8,70930.15
