Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,0.9202,0.9275,0.91354,0.9234
2016-01-05,0.92345,0.93364,0.92261,0.9299
2016-01-06,0.92992,0.93284,0.92599,0.92792
2016-01-07,0.92803,0.92839,0.91407,0.9156
2016-01-08,0.91558,0.92572,0.91516,0.91569
2016-01-11,0.91369,0.92172,0.91163,0.9206
2016-01-12,0.9206,0.92423,0.91741,0.92182
2016-01-13,0.92182,0.92549,0.91847,0.91891
2016-01-14,0.91892,0.92295,0.91388,0.92067
2016-01-15,0.92069,0.92124,0.91038,0.91586
2016-01-18,0.91643,0.92,0.91511,0.91819
2016-01-19,0.91821,0.92082,0.9142,0.91625
2016-01-20,0.91625,0.91934,0.91108,0.91819
2016-01-21,0.91812,0.92776,0.91567,0.91986
2016-01-22,0.91988,0.92683,0.9194,0.92614
2016-01-25,0.92654,0.9268,0.92106,0.92165
2016-01-26,0.92165,0.92428,0.91959,0.92031
2016-01-27,0.92028,0.92157,0.91606,0.91718
2016-01-28,0.91716,0.91997,0.91177,0.91424
2016-01-29,0.91419,0.92501,0.91339,0.9231
2016-02-01,0.92339,0.92468,0.91636,0.9183
2016-02-02,0.9183,0.91855,0.91419,0.91536
2016-02-03,0.91538,0.91709,0.89726,0.90239
2016-02-04,0.90239,0.90335,0.88977,0.8928
2016-02-05,0.89279,0.90017,0.88925,0.89659
2016-02-08,0.89719,0.90197,0.8916,0.89287
2016-02-09,0.89287,0.89586,0.88204,0.88591
2016-02-10,0.88591,0.89594,0.88415,0.88664
2016-02-11,0.88667,0.88698,0.8791,0.88385
2016-02-12,0.8839,0.89173,0.88243,0.8885
2016-02-15,0.88968,0.89863,0.88958,0.89578
2016-02-16,0.89576,0.89891,0.89342,0.89788
2016-02-17,0.89789,0.9004,0.89453,0.89855
2016-02-18,0.89854,0.90322,0.89689,0.90015
2016-02-19,0.90014,0.9036,0.89771,0.89834
2016-02-22,0.89956,0.90871,0.8989,0.90682
2016-02-23,0.90683,0.90989,0.90481,0.90743
2016-02-24,0.90743,0.91253,0.90535,0.90772
2016-02-25,0.90772,0.9101,0.90499,0.90742
2016-02-26,0.9074,0.9164,0.90348,0.91422
2016-02-29,0.91599,0.92084,0.9122,0.91877
2016-03-01,0.91877,0.92295,0.91796,0.92019
2016-03-02,0.9202,0.92374,0.9191,0.92001
2016-03-03,0.92006,0.92134,0.91157,0.91329
2016-03-04,0.91327,0.91712,0.9055,0.90893
2016-03-07,0.90937,0.91405,0.90698,0.90784
2016-03-08,0.90784,0.90959,0.9044,0.90859
2016-03-09,0.90859,0.91354,0.90621,0.90936
2016-03-10,0.90933,0.92396,0.89154,0.89448
2016-03-11,0.89447,0.90247,0.89209,0.89684
2016-03-14,0.89563,0.9027,0.89489,0.90061
2016-03-15,0.9006,0.90311,0.89889,0.90025
2016-03-16,0.90029,0.90431,0.88958,0.89161
2016-03-17,0.8916,0.89236,0.88166,0.88374
2016-03-18,0.88374,0.88837,0.88208,0.88702
2016-03-21,0.88701,0.89009,0.88615,0.88966
2016-03-22,0.88965,0.89377,0.88811,0.89152
2016-03-23,0.89149,0.89608,0.89098,0.89425
2016-03-24,0.89426,0.89719,0.89383,0.89463
2016-03-28,0.89569,0.89655,0.89127,0.89304
2016-03-29,0.89303,0.8953,0.88469,0.88561
2016-03-30,0.88565,0.88602,0.87993,0.88229
2016-03-31,0.8823,0.88412,0.87628,0.87866
2016-04-01,0.87866,0.88225,0.8743,0.87791
2016-04-04,0.87749,0.88041,0.87636,0.87789
2016-04-05,0.8779,0.88211,0.87685,0.87844
2016-04-06,0.87843,0.88285,0.87478,0.87746
2016-04-07,0.87765,0.88197,0.87304,0.87928
2016-04-08,0.87929,0.88109,0.87573,0.8772
2016-04-11,0.87665,0.87925,0.87363,0.8768
2016-04-12,0.87682,0.8812,0.87224,0.87849
2016-04-13,0.8785,0.88744,0.87789,0.88663
2016-04-14,0.88665,0.89015,0.88536,0.88804
2016-04-15,0.88798,0.88917,0.88363,0.88625
